Accession,Platform,SeqClass,Species,Cells,PMID,Date,Title
GSE122009,10X Genomics,shortread,Mouse,25149,32459995,5/28/20,A Multiplexed Barcodelet Single-Cell Rna-Seq Approach Elucidates Combinatorial Signaling Pathways That Drive Esc Differentiation.
GSE122012,10X Genomics,shortread,Mouse,6745,30872278,3/16/19,Defining Developmental Diversification Of Diencephalon Neurons Through Single Cell Gene Expression Profiling.
GSE122026,CEL-seq,shortread,Mouse,1726,30595537,1/1/19,Dermal Condensate Niche Fate Specification Occurs Prior To Formation And Is Placode Progenitor Dependent.
GSE122198,Nextera XT,shortread,Human,2622,30765193,2/16/19,Unravelling Intratumoral Heterogeneity Through High-Sensitivity Single-Cell Mutational Analysis And Parallel Rna Sequencing.
GSE122403,10X Genomics,shortread,Mouse,10319,31142541,5/31/19,Single Cell Expression Analysis Reveals Anatomical And Cell Cycle-Dependent Transcriptional Shifts During Heart Development.
GSE122466,10X Genomics,shortread,Mouse,5060,31399471,8/11/19,Single-Cell Transcriptional Logic Of Cell-Fate Specification And Axon Guidance In Early-Born Retinal Neurons.
GSE122675,10X Genomics,shortread,Mouse,11578,30778252,2/20/19,Subsets of exhausted CD8+ T cells differentially mediate tumor control and respond to checkpoint blockade
GSE122712,10X Genomics,shortread,Mouse,8490,30778252,2/20/19,Subsets Of Exhausted Cd8
GSE122730,10X Genomics,shortread,Mouse,8981,30728335,2/8/19,Cxcr3-Expressing Leukocytes Are Necessary For Neurofibroma Formation In Mice.
GSE122743,10X Genomics,shortread,Human,44434,31477698,9/4/19,Single-Cell Transcriptomics Reveals Multi-Step Adaptations To Endocrine Therapy.
GSE122817,Smart-Seq,longread,Mouse,178,32259486,4/8/20,Defining The Design Principles Of Skin Epidermis Postnatal Growth.
GSE122843,CEL-seq,shortread,Mouse,1396,31222014,6/22/19,Targeting Enhancer Switching Overcomes Non-Genetic Drug Resistance In Acute Myeloid Leukaemia.
GSE122846,10X Genomics,shortread,Human,1750,30664737,1/22/19,Memory Cd4
GSE122969,Smart-Seq,longread,Mouse,5151,30635236,1/13/19,Checkpoint Blockade Immunotherapy Induces Dynamic Changes In Pd-1
GSE122970,10X Genomics,shortread,Mouse;Human,7237,32386599,5/11/20,Single-Cell Analysis Of Human Retina Identifies Evolutionarily Conserved And Species-Specific Mechanisms Controlling Development.
GSE123022,Smart-Seq,longread,Mouse,346,30606613,1/5/19,Developmental Heterogeneity Of Microglia And Brain Myeloid Cells Revealed By Deep Single-Cell Rna Sequencing.
GSE123024,Smart-Seq,longread,Mouse,133,30606613,1/5/19,Developmental Heterogeneity Of Microglia And Brain Myeloid Cells Revealed By Deep Single-Cell Rna Sequencing.
GSE123025,Smart-Seq,longread,Mouse,1797,30606613,1/5/19,Developmental Heterogeneity Of Microglia And Brain Myeloid Cells Revealed By Deep Single-Cell Rna Sequencing.
GSE123046,10X Genomics,shortread,Mouse,161415,30959515,4/9/19,The Emergent Landscape Of The Mouse Gut Endoderm At Single-Cell Resolution.
GSE123067,10X Genomics,shortread,Mouse,55541,30643267,1/16/19,Thymic Regulatory T Cells Arise Via Two Distinct Developmental Programs.
GSE123078,10X Genomics,shortread,Mouse,1698,30971824,4/12/19,The Bone Marrow Microenvironment At Single-Cell Resolution.
GSE123139,MARS-seq,shortread,Human,33770,32359441,5/4/20,"Dysfunctional Cd8 T Cells Form A Proliferative, Dynamically Regulated Compartment Within Human Melanoma."
GSE123476,Fluidigm,longread,Human,80,28111004,1/24/17,Single Cell Sequencing Reveals Heterogeneity Within Ovarian Cancer Epithelium And Cancer Associated Stromal Cells.
GSE123515,Fluidigm,longread,Mouse,149,31019301,4/26/19,Single-Cell Transcriptomes Of The Regenerating Intestine Reveal A Revival Stem Cell.
GSE123813,10X Genomics,shortread,Human,73587,31359002,7/31/19,Clonal Replacement Of Tumor-Specific T Cells Following Pd-1 Blockade.
GSE123899,Fluidigm,longread,Human,439,32699019,7/24/20,Parallel Bimodal Single-Cell Sequencing Of Transcriptome And Chromatin Accessibility.
GSE123904,10X Genomics,shortread,Mouse;Human,96700,32042191,2/12/20,Regenerative Lineages And Immune-Mediated Pruning In Lung Cancer Metastasis.
GSE123926,10X Genomics,shortread,Human,32895,30770823,2/17/19,Barcoding Reveals Complex Clonal Behavior In Patient-Derived Xenografts Of Metastatic Triple Negative Breast Cancer.
GSE124172,10X Genomics,shortread,Mouse;Human;Zebrafish,36998,31907413,1/8/20,Multipotent Rag1+ Progenitors Emerge Directly From Haemogenic Endothelium In Human Pluripotent Stem Cell-Derived Haematopoietic Organoids.
GSE124174,10X Genomics,shortread,Human,12415,30886407,3/20/19,Cerebral Organoids At The Air-Liquid Interface Generate Diverse Nerve Tracts With Functional Output.
GSE124263,10X Genomics,shortread,Human,4461,30726734,2/7/19,The Neonatal And Adult Human Testis Defined At The Single-Cell Level.
GSE124299,Fluidigm,longread,Human;Chimpanzee,21137,30735633,2/9/19,Establishing Cerebral Organoids As Models Of Human-Specific Brain Evolution.
GSE124312,10X Genomics,shortread,Mouse,1668,31116992,5/23/19,An Atlas Of Vagal Sensory Neurons And Their Molecular Specialization.
GSE124334,10X Genomics,shortread,Human,6383,30949159,4/6/19,Single-Cell Transcriptome Analysis Of Cd34
GSE124454,Fluidigm,longread,Mouse,45,27131741,5/2/16,Heterogeneity Of Mesp1+ Mesoderm Revealed By Single-Cell Rna-Seq.
GSE124742,Smart-Seq,longread,Human,4842,32302527,4/18/20,Patch-Seq Links Single-Cell Transcriptomes To Human Islet Dysfunction In Diabetes.
GSE124872,Nextera XT,shortread,Mouse,11818,30814501,3/1/19,An Atlas Of The Aging Lung Mapped By Single Cell Transcriptomics And Deep Tissue Proteomics.
GSE124887,10X Genomics,shortread,Human,3269,31308046,7/17/19,Set Domain-Containing Protein 4 Epigenetically Controls Breast Cancer Stem Cell Quiescence.
GSE124888,10X Genomics,shortread,Mouse;Human,3490,31308046,7/17/19,Set Domain-Containing Protein 4 Epigenetically Controls Breast Cancer Stem Cell Quiescence.
GSE124904,10X Genomics,shortread,Mouse,9232,31243281,6/28/19,Developmental Kinetics And Transcriptome Dynamics Of Stem Cell Specification In The Spermatogenic Lineage.
GSE125269,10X Genomics,shortread,Mouse,6026,31573981,10/2/19,Low- And High-Thermogenic Brown Adipocyte Subpopulations Coexist In Murine Adipose Tissue.
GSE125449,10X Genomics,shortread,Human,8891,31588021,10/8/19,Tumor Cell Biodiversity Drives Microenvironmental Reprogramming In Liver Cancer.
GSE125527,10X Genomics,shortread,Human,78560,32826341,8/23/20,Heterogeneity And Clonal Relationships Of Adaptive Immune Cells In Ulcerative Colitis Revealed By Single-Cell Analyses.
GSE125881,10X Genomics,shortread,Human,55654,31924795,1/12/20,Clonal Kinetics And Single-Cell Transcriptional Profiling Of Car-T Cells In Patients Undergoing Cd19 Car-T Immunotherapy.
GSE125970,10X Genomics,shortread,Mouse;Human,4195,31753849,11/23/19,Single-Cell Transcriptome Analysis Reveals Differential Nutrient Absorption Functions In Human Intestine.
GSE126022,10X Genomics,shortread,Mouse;Human,6487,30982595,4/16/19,Human Pluripotency Is Initiated And Preserved By A Unique Subset Of Founder Cells.
GSE126111,Drop-seq,shortread,Human,2281,31270426,7/5/19,An Optimised Tissue Disaggregation And Data Processing Pipeline For Characterising Fibroblast Phenotypes Using Single-Cell Rna Sequencing.
GSE126128,10X Genomics,shortread,Mouse,55818,31341279,7/26/19,Single-Cell Analysis Of Cardiogenesis Reveals Basis For Organ-Level Developmental Defects.
GSE126388,10X Genomics,shortread,Mouse,4133,30799483,2/26/19,Superct: A Supervised-Learning Framework For Enhanced Characterization Of Single-Cell Transcriptomic Profiles.
GSE126480,10X Genomics,shortread,Mouse,5953,31420539,8/20/19,Single Cell Transcriptome Analysis Of Developing Arcuate Nucleus Neurons Uncovers Their Key Developmental Regulators.
GSE126819,Smart-Seq,longread,Mouse,621,31399471,8/11/19,Single-Cell Transcriptional Logic Of Cell-Fate Specification And Axon Guidance In Early-Born Retinal Neurons.
GSE126906,CEL-seq,shortread,Human,4526,30096152,8/11/18,Scpipe: A Flexible R/Bioconductor Preprocessing Pipeline For Single-Cell Rna-Sequencing Data.
GSE127005,InDrops,shortread,Mouse,4999,31053654,5/6/19,Distinct Immunocyte-Promoting And Adipocyte-Generating Stromal Components Coordinate Adipose Tissue Immune And Metabolic Tenors.
GSE127235,Fluidigm,longread,Mouse,602,30846559,3/9/19,Single-Cell Rna Profiling Of Glomerular Cells Shows Dynamic Changes In Experimental Diabetic Kidney Disease.
GSE127471,10X Genomics,shortread,Human,1027,31061481,5/8/19,Determining Cell Type Abundance And Expression From Bulk Tissues With Digital Cytometry.
GSE127472,10X Genomics,shortread,Human,1394,31061481,5/8/19,Determining Cell Type Abundance And Expression From Bulk Tissues With Digital Cytometry.
GSE127683,Nextera XT,shortread,Mouse;Human,54,31033441,4/30/19,Transcriptomic And Epigenetic Regulation Of Hair Cell Regeneration In The Mouse Utricle And Its Potentiation By Atoh1.
GSE127774,10X Genomics,shortread,Human;Chimpanzee,643184,32424074,5/20/20,"Single-Cell-Resolution Transcriptome Map Of Human, Chimpanzee, Bonobo, And Macaque Brains."
GSE128003,Nextera XT,shortread,Mouse,173,33078414,10/21/20,Single-Cell Molecular Profiling Provides A High-Resolution Map Of Basophil And Mast Cell Development.
GSE128074,Nextera XT,shortread,Mouse,90,33078414,10/21/20,Single-Cell Molecular Profiling Provides A High-Resolution Map Of Basophil And Mast Cell Development.
GSE128147,Nextera XT,shortread,Mouse;Human,114,31448339,8/27/19,Single-Cell Transcriptome Analysis Of Cd8 
GSE128423,10X Genomics,shortread,Mouse,92341,31130381,5/28/19,A Cellular Taxonomy Of The Bone Marrow Stroma In Homeostasis And Leukemia.
GSE128531,10X Genomics,shortread,Human,29611,31010835,4/24/19,Single-Cell Lymphocyte Heterogeneity In Advanced Cutaneous T-Cell Lymphoma Skin Tumors.
GSE128553,10X Genomics,shortread,Mouse,18094,32367190,5/6/20,Dissecting The Initiation Of Female Meiosis In The Mouse At Single-Cell Resolution.
GSE128639,10X Genomics,longread,Human,30087,31178118,6/11/19,Comprehensive Integration Of Single-Cell Data.
GSE128691,Smart-Seq,longread,Mouse,65,31466525,8/31/19,Light-Induced Injury In Mouse Embryos Revealed By Single-Cell Rna Sequencing.
GSE128759,Clontech SMRTr,shortread,Mouse,33,32822583,8/22/20,Single-Cell Analysis Of Neonatal Hsc Ontogeny Reveals Gradual And Uncoordinated Transcriptional Reprogramming That Begins Before Birth.
GSE128761,10X Genomics,shortread,Mouse,130725,32822583,8/22/20,Single-Cell Analysis Of Neonatal Hsc Ontogeny Reveals Gradual And Uncoordinated Transcriptional Reprogramming That Begins Before Birth.
GSE128854,10X Genomics,shortread,Mouse,53473,31061494,5/8/19,A Single-Cell Atlas Of Mouse Brain Macrophages Reveals Unique Transcriptional Identities Shaped By Ontogeny And Tissue Environment.
GSE128879,10X Genomics,shortread,Human,2717,32457298,5/28/20,Single Cell Transcriptomics Reveals Opioid Usage Evokes Widespread Suppression Of Antiviral Gene Program.
GSE128892,10X Genomics,shortread,Mouse;Human,2303,,,
GSE128934,Nextera XT,shortread,Mouse,7604,31693907,11/7/19,Doubletdecon: Deconvoluting Doublets From Single-Cell Rna-Sequencing Data.
GSE129087,10X Genomics,shortread,Mouse,4497,31142839,5/31/19,Distinct Fibroblast Subsets Drive Inflammation And Damage In Arthritis.
GSE129096,Drop-seq,shortread,Human,65967,32001747,2/1/20,Systematic Comparison Of High-Throughput Single-Cell And Single-Nucleus Transcriptomes During Cardiomyocyte Differentiation.
GSE129150,InDrops,shortread,Mouse,102117,31209379,6/19/19,Sensory Lesioning Induces Microglial Synapse Elimination Via Adam10 And Fractalkine Signaling.
GSE129256,10X Genomics,longread,Mouse,1328,32444476,5/24/20,IRF5 guides monocytes toward an inflammatory CD11c+ macrophage phenotype and promotes intestinal inflammation
GSE129363,10X Genomics,shortread,Human,36393,32066997,2/19/20,Single-Cell Analysis Of Human Adipose Tissue Identifies Depot And Disease Specific Cell Types.
GSE129857,Fluidigm,longread,Mouse,77,33419925,1/10/21,Permissive Selection Followed By Affinity-Based Proliferation Of Gc Light Zone B Cells Dictates Cell Fate And Ensures Clonal Breadth.
GSE130001,10X Genomics,shortread,Human,3946,32111252,3/1/20,A Reference Profile-Free Deconvolution Method To Infer Cancer Cell-Intrinsic Subtypes And Tumor-Type-Specific Stromal Profiles.
GSE130019,Fluidigm,longread,Mouse;Human,549,32049009,2/13/20,Transcriptional Programs Define Intratumoral Heterogeneity Of Ewing Sarcoma At Single-Cell Resolution.
GSE130020,Fluidigm,longread,Human,92,32049009,2/13/20,Transcriptional Programs Define Intratumoral Heterogeneity Of Ewing Sarcoma At Single-Cell Resolution.
GSE130021,Fluidigm,longread,Human,91,32049009,2/13/20,Transcriptional Programs Define Intratumoral Heterogeneity Of Ewing Sarcoma At Single-Cell Resolution.
GSE130023,Fluidigm,longread,Mouse;Human,137,32049009,2/13/20,Transcriptional Programs Define Intratumoral Heterogeneity Of Ewing Sarcoma At Single-Cell Resolution.
GSE130025,Fluidigm,longread,Mouse;Human,20295,32049009,2/13/20,Transcriptional Programs Define Intratumoral Heterogeneity Of Ewing Sarcoma At Single-Cell Resolution.
GSE130070,10X Genomics,shortread,Human,10671,33037057,10/11/20,Deconvolution Of Monocyte Responses In Inflammatory Bowel Disease Reveals An Il-1 Cytokine Network That Regulates Il-23 In Genetic And Acquired Il-10 Resistance.
GSE130073,10X Genomics,shortread,Human,3860,31155493,6/4/19,Modeling Steatohepatitis In Humans With Pluripotent Stem Cell-Derived Organoids.
GSE130148,Nextera XT,shortread,Human,100398,31209336,6/19/19,A Cellular Census Of Human Lungs Identifies Novel Cell States In Health And In Asthma.
GSE130151,10X Genomics,shortread,Human,3082,31462300,8/30/19,High-Resolution Analysis Of Germ Cells From Men With Sex Chromosomal Aneuploidies Reveals Normal Transcriptome But Impaired Imprinting.
GSE130212,10X Genomics,shortread,Mouse,18235,32716582,7/28/20,Single-Cell Rna Sequencing Reveals The Landscape Of Early Female Germ Cell Development.
GSE130318,10X Genomics,shortread,Human,11362,31317052,7/19/19,Single-Cell Rna-Seq Analysis Identifies A Putative Epithelial Stem Cell Population In Human Primary Prostate Cells In Monolayer And Organoid Culture Conditions.
GSE130430,10X Genomics,shortread,Human,11302,31477722,9/4/19,Heterogeneity Of Human Bone Marrow And Blood Natural Killer Cells Defined By Single-Cell Transcriptome.
GSE130473,Smart-Seq,longread,Mouse;Human,948,31350390,7/28/19,Single Cell Analysis Of Human Foetal Liver Captures The Transcriptional Profile Of Hepatobiliary Hybrid Progenitors.
GSE130606,10X Genomics,shortread,Mouse,7317,31118232,5/24/19,Single Cell Analysis Of The Developing Mouse Kidney Provides Deeper Insight Into Marker Gene Expression And Ligand-Receptor Crosstalk.
GSE130626,10X Genomics,shortread,Mouse,2976,31902528,1/7/20,Trem2 Regulates Microglial Cholesterol Metabolism Upon Chronic Phagocytic Challenge.
GSE130636,10X Genomics,shortread,Human,8217,31075224,5/11/19,Molecular Characterization Of Foveal Versus Peripheral Human Retina By Single-Cell Rna Sequencing.
GSE130756,Drop-seq,shortread,Human,371190,32977829,9/27/20,A Single-Cell Survey Of Cellular Hierarchy In Acute Myeloid Leukemia.
GSE130888,10X Genomics,shortread,Human,91311,31167927,6/7/19,Inhibition Of Hyperglycolysis In Mesothelial Cells Prevents Peritoneal Fibrosis.
GSE130919,10X Genomics,shortread,Mouse,5434,31522976,9/17/19,Lgr5 And Col22A1 Mark Progenitor Cells In The Lineage Toward Juvenile Articular Chondrocytes.
GSE130973,10X Genomics,shortread,Human,14854,32327715,4/25/20,Single-Cell Transcriptomes Of The Human Skin Reveal Age-Related Loss Of Fibroblast Priming.
GSE131038,Nextera XT,shortread,Mouse,1584,31128961,5/28/19,Polychromic Reporter Mice Reveal Unappreciated Innate Lymphoid Cell Progenitor Heterogeneity And Elusive Ilc3 Progenitors In Bone Marrow.
GSE131181,10X Genomics,shortread,Mouse;Human,85202,31201182,6/16/19,A Cellular Atlas Of
GSE131365,10X Genomics,shortread,Mouse,1091,31149730,6/1/19,Single-Cell Transcriptomes Of Murine Bone Marrow Stromal Cells Reveal Niche-Associated Heterogeneity.
GSE131391,CEL-seq,shortread,Human,883,31844660,12/18/19,Characterizing Smoking-Induced Transcriptional Heterogeneity In The Human Bronchial Epithelium At Single-Cell Resolution.
GSE131498,10X Genomics,shortread,Mouse,15304,32685006,7/21/20,Single-Cell Transcriptome Profiling Reveals Dermal And Epithelial Cell Fate Decisions During Embryonic Hair Follicle Development.
GSE131535,10X Genomics,shortread,Mouse,8610,31606264,10/14/19,Tcf-1-Centered Transcriptional Network Drives An Effector Versus Exhausted Cd8 T Cell-Fate Decision.
GSE131629,10X Genomics,shortread,Mouse,26500,32194870,3/21/20,Alginate Oligosaccharides Improve Germ Cell Development And Testicular Microenvironment To Rescue Busulfan Disrupted Spermatogenesis.
GSE131630,10X Genomics,shortread,Mouse,11795,31900405,1/5/20,Single-Cell Rna Sequencing Analysis Reveals Alginate Oligosaccharides Preventing Chemotherapy-Induced Mucositis.
GSE131734,10X Genomics,shortread,Mouse,2639,31590918,10/9/19,Single-Cell Rna-Seq Analysis Of Mesp1-Induced Skeletal Myogenic Development.
GSE131776,10X Genomics,shortread,Mouse;Human,24848,31359001,7/31/19,Atheroprotective Roles Of Smooth Muscle Cell Phenotypic Modulation And The Tcf21 Disease Gene As Revealed By Single-Cell Analysis.
GSE131777,10X Genomics,shortread,Mouse;Human,4798,31359001,7/31/19,Atheroprotective Roles Of Smooth Muscle Cell Phenotypic Modulation And The Tcf21 Disease Gene As Revealed By Single-Cell Analysis.
GSE131778,10X Genomics,shortread,Mouse;Human,11221,31359001,7/31/19,Atheroprotective Roles Of Smooth Muscle Cell Phenotypic Modulation And The Tcf21 Disease Gene As Revealed By Single-Cell Analysis.
GSE131907,10X Genomics,shortread,Human,193293,32385277,5/10/20,Single-Cell Rna Sequencing Demonstrates The Molecular And Cellular Reprogramming Of Metastatic Lung Adenocarcinoma.
GSE131928,Smart-Seq,longread,Human,20785,31327527,7/23/19,"An Integrative Model Of Cellular States, Plasticity, And Genetics For Glioblastoma."
GSE132042,Smart-Seq,longread,Mouse,298569,32669714,7/15/20,A single-cell transcriptomic atlas characterizes ageing tissues in the mouse
GSE132080,10X Genomics,shortread,Human,21404,31932729,1/15/20,Titrating Gene Expression Using Libraries Of Systematically Attenuated Crispr Guide Rnas.
GSE132143,MARS-seq,shortread,Mouse;Human,99,32972203,9/26/20,Single-Cell Rna Sequencing Analysis Reveals A Crucial Role For Cthrc1 (Collagen Triple Helix Repeat Containing 1) Cardiac Fibroblasts After Myocardial Infarction.
GSE132164,10X Genomics,shortread,Mouse;Human,24381,32923584,9/15/20,Single-Cell Transcriptomics Identifies Multiple Pathways Underlying Antitumor Function Of Tcr- And Cd8Αβ-Engineered Human Cd4
GSE132229,10X Genomics,shortread,Mouse,61546,31843893,12/18/19,Comprehensive Analysis Of A Mouse Model Of Spontaneous Uveoretinitis Using Single-Cell Rna Sequencing.
GSE132257,10X Genomics,shortread,Human,17040,32451460,5/27/20,Lineage-Dependent Gene Expression Programs Influence The Immune Landscape Of Colorectal Cancer.
GSE132274,10X Genomics,shortread,Drosphilia,4408,31851941,12/19/19,The Cellular Diversity And Transcription Factor Code Of Drosophila Enteroendocrine Cells.
GSE132300,10X Genomics,shortread,Human,5704,31332193,7/25/19,Predicting Bacterial Infection Outcomes Using Single Cell Rna-Sequencing Analysis Of Human Immune Cells.
GSE132364,CEL-seq,shortread,Mouse,5558,31160419,6/5/19,A Transcriptomic Roadmap To Α- And Β-Cell Differentiation In The Embryonic Pancreas.
GSE132465,10X Genomics,shortread,Human,60343,32451460,5/27/20,Lineage-Dependent Gene Expression Programs Influence The Immune Landscape Of Colorectal Cancer.
GSE132504,10X Genomics,shortread,Mouse,9591,31152001,6/4/19,Neuro-Mesodermal Progenitors (Nmps): A Comparative Study Between Pluripotent Stem Cells And Embryo-Derived Populations.
GSE132509,10X Genomics,shortread,Human,36071,32415257,5/18/20,Single-Cell Analysis Of Childhood Leukemia Reveals A Link Between Developmental States And Ribosomal Protein Expression As A Source Of Intra-Individual Heterogeneity.
GSE132573,InDrops,shortread,Mouse,1012,31685531,11/7/19,Developmental And Cellular Age Direct Conversion Of Cd4+ T Cells Into Rorγ+ Or Helios+ Colon Treg Cells.
GSE132608,10X Genomics,shortread,Mouse,10878,32066983,2/19/20,Spatiotemporal Single-Cell Analysis Of Gene Expression In The Mouse Suprachiasmatic Nucleus.
GSE132642,10X Genomics,shortread,Mouse,74629,31751331,11/22/19,Single-Cell Transcriptomics Of The Naked Mole-Rat Reveals Unexpected Features Of Mammalian Immunity.
GSE132672,10X Genomics,shortread,Human,402177,31996853,1/31/20,Cell Stress In Cortical Organoids Impairs Molecular Subtype Specification.
GSE132730,10X Genomics,shortread,Mouse,36778,32499648,6/6/20,Molecular Design Of Hypothalamus Development.
GSE132757,10X Genomics,shortread,Human,3924,32732423,8/1/20,Allele-Specific Open Chromatin In Human Ipsc Neurons Elucidates Functional Disease Variants.
GSE132771,10X Genomics,shortread,Mouse;Human,104819,32317643,4/23/20,Collagen-Producing Lung Cell Atlas Identifies Multiple Subsets With Distinct Localization And Relevance To Fibrosis.
GSE132867,10X Genomics,shortread,Mouse,452,31623513,10/19/19,Transcriptomic And Single-Cell Analysis Of The Murine Parotid Gland.
GSE132880,10X Genomics,shortread,Mouse,29575,31162546,6/5/19,Single-Cell Transcriptome Analyses Reveal Novel Targets Modulating Cardiac Neovascularization By Resident Endothelial Cells Following Myocardial Infarction.
GSE133015,10X Genomics,shortread,Mouse,457,31399586,8/11/19,Wwp2 Regulates Pathological Cardiac Fibrosis By Modulating Smad2 Signaling.
GSE133204,10X Genomics,shortread,Drosphilia,4982,31455604,8/29/19,"Single Cell Transcriptomic Landscapes Of Pattern Formation, Proliferation And Growth In "
GSE133345,KAPA Hyper Prep Kit,shortread,Human,1166,32499656,6/6/20,Deciphering Human Macrophage Development At Single-Cell Resolution.
GSE133382,10X Genomics,shortread,Mouse,40056,31784286,12/1/19,Single-Cell Profiles Of Retinal Ganglion Cells Differing In Resilience To Injury Reveal Neuroprotective Genes.
GSE133449,BD Rhapsody,shortread,Human,6456,31871141,12/25/19,Single-Cell Rna-Seq Analysis Identifies Meniscus Progenitors And Reveals The Progression Of Meniscus Degeneration.
GSE133486,10X Genomics,shortread,Mouse,81710,31644425,10/24/19,Single Cell Analysis Reveals Immune Cell-Adipocyte Crosstalk Regulating The Transcription Of Thermogenic Adipocytes.
GSE133531,10X Genomics,shortread,Mouse;Human,6082,31768071,11/27/19,Stalled Developmental Programs At The Root Of Pediatric Brain Tumors.
GSE133535,10X Genomics,longread,Mouse;Human,17758,32051003,2/14/20,Robustness And Applicability Of Transcription Factor And Pathway Analysis Tools On Single-Cell Rna-Seq Data.
GSE133540,Smart-Seq,longread,Mouse;Human,5472,32051003,2/14/20,Robustness And Applicability Of Transcription Factor And Pathway Analysis Tools On Single-Cell Rna-Seq Data.
GSE133689,Smart-Seq,longread,Mouse,868,31827285,12/13/19,Multi-Omics Profiling Of Mouse Gastrulation At Single-Cell Resolution.
GSE133699,10X Genomics,shortread,Mouse,20279,31471106,9/1/19,Oncolytic Viruses Engineered To Enforce Leptin Expression Reprogram Tumor-Infiltrating T Cell Metabolism And Promote Tumor Clearance.
GSE133725,Smart-Seq,longread,Mouse,2582,31827285,12/13/19,Multi-Omics Profiling Of Mouse Gastrulation At Single-Cell Resolution.
GSE133912,Nextera XT,longread,Mouse,1892,31527803,9/19/19,A Repeated Molecular Architecture Across Thalamic Pathways.
GSE133948,10X Genomics,shortread,Human,2383,33138772,11/4/20,Functional Module Detection Through Integration Of Single-Cell Rna Sequencing Data With Protein-Protein Interaction Networks.
GSE134174,10X Genomics,shortread,Human,33804,32427931,5/20/20,Dissecting The Cellular Specificity Of Smoking Effects And Reconstructing Lineages In The Human Airway Epithelium.
GSE134355,Drop-seq,shortread,Mouse;Human,28799,32214235,3/28/20,Construction Of A Human Cell Landscape At Single-Cell Level.
GSE134520,10X Genomics,shortread,Human,40205,31067475,5/9/19,Dissecting The Single-Cell Transcriptome Network Underlying Gastric Premalignant Lesions And Early Gastric Cancer.
GSE134571,10X Genomics,shortread,Human,9650,31511693,9/13/19,Controlled Modelling Of Human Epiblast And Amnion Development Using Stem Cells.
GSE134722,10X Genomics,shortread,Drosphilia,12743,31746739,11/21/19,Single Cell Transcriptome Atlas Of The
GSE134809,10X Genomics,shortread,Human,30432,31474370,9/3/19,Single-Cell Analysis Of Crohn'S Disease Lesions Identifies A Pathogenic Cellular Module Associated With Resistance To Anti-Tnf Therapy.
GSE134918,Nextera XT,shortread,Mouse,55524,32579931,6/25/20,Single-Cell Profiling And Scope-Seq Reveal Lineage Dynamics Of Adult Ventricular-Subventricular Zone Neurogenesis And Notum As A Key Regulator.
GSE135060,TruSeq,shortread,Mouse,81,32710103,7/28/20,Cell Surface Protein Mrnas Show Differential Transcription In Pyramidal And Fast-Spiking Cells As Revealed By Single-Cell Sequencing.
GSE135132,Smart-Seq,longread,Mouse,968,31647409,10/28/19,Single-Cell Transcriptomes And Whole-Brain Projections Of Serotonin Neurons In The Mouse Dorsal And Median Raphe Nuclei.
GSE135133,10X Genomics,shortread,Human,112287,31995762,1/30/20,Integration Of Eqtl And A Single-Cell Atlas In The Human Eye Identifies Causal Genes For Age-Related Macular Degeneration.
GSE135185,10X Genomics,shortread,Mouse,4381,33526922,2/3/21,Cns Fibroblasts Form A Fibrotic Scar In Response To Immune Cell Infiltration.
GSE135194,10X Genomics,shortread,Human,32871,32556286,6/20/20,Sequencing Of Rna In Single Cells Reveals A Distinct Transcriptome Signature Of Hematopoiesis In Gata2 Deficiency.
GSE135437,CEL-seq,shortread,Mouse;Human,11774,31740814,11/20/19,Mapping Microglia States In The Human Brain Through The Integration Of High-Dimensional Techniques.
GSE135663,10X Genomics,shortread,Human,57603,32656538,7/14/20,Profiling
GSE135703,Fluidigm,longread,Mouse;Human,194,32116546,3/3/20,Characterizing Adult Cochlear Supporting Cell Transcriptional Diversity Using Single-Cell Rna-Seq: Validation In The Adult Mouse And Translational Implications For The Adult Human Cochlea.
GSE135710,10X Genomics,shortread,Mouse;Human,2547,32142650,3/7/20,Complement Signals Determine Opposite Effects Of B Cells In Chemotherapy-Induced Immunity.
GSE135769,Fluidigm,longread,Mouse,90,31878887,12/28/19,Exploring The Changing Landscape Of Cell-To-Cell Variation After Ctcf Knockdown Via Single Cell Rna-Seq.
GSE135922,10X Genomics,shortread,Human,4155,31712411,11/13/19,Single-Cell Transcriptomics Of The Human Retinal Pigment Epithelium And Choroid In Health And Macular Degeneration.
GSE136001,10X Genomics,shortread,Mouse,38352,33608526,2/21/21,Single-Cell Rna Sequencing Reveals Functional Heterogeneity Of Glioma-Associated Brain Macrophages.
GSE136103,10X Genomics,shortread,Mouse;Human,92860,31597160,10/10/19,Resolving The Fibrotic Niche Of Human Liver Cirrhosis At Single-Cell Level.
GSE136206,10X Genomics,shortread,Mouse,26636,31730857,11/16/19,B Cells And T Follicular Helper Cells Mediate Response To Checkpoint Inhibitors In High Mutation Burden Mouse Models Of Breast Cancer.
GSE136229,10X Genomics,shortread,Human,2571,32066997,2/19/20,Single-Cell Analysis Of Human Adipose Tissue Identifies Depot And Disease Specific Cell Types.
GSE136353,10X Genomics,shortread,Human,6229,31630146,10/21/19,Single-Cell Sequencing Reveals The Relationship Between Phenotypes And Genotypes Of Klinefelter Syndrome.
GSE136394,Fluidigm,longread,Human,65922,31484655,9/6/19,Single-Cell Transcriptome Analysis Reveals Gene Signatures Associated With T-Cell Persistence Following Adoptive Cell Therapy.
